Date,VADATA.Positive,VADATA.HospitalizedCumulative
2020-1-27,0,0
2020-1-28,0,0
2020-1-29,0,0
2020-1-30,0,0
2020-1-31,0,0
2020-2-1,0,0
2020-2-2,0,0
2020-2-3,0,0
2020-2-4,0,0
2020-2-5,0,0
2020-2-6,0,0
2020-2-7,0,0
2020-2-8,0,0
2020-2-9,0,0
2020-2-10,0,0
2020-2-11,0,0
2020-2-12,0,0
2020-2-13,0,0
2020-2-14,0,0
2020-2-15,0,0
2020-2-16,0,0
2020-2-17,0,0
2020-2-18,0,0
2020-2-19,0,0
2020-2-20,0,0
2020-2-21,0,0
2020-2-22,0,0
2020-2-23,0,0
2020-2-24,0,0
2020-2-25,0,0
2020-2-26,0,0
2020-2-27,0,0
2020-2-28,0,0
2020-2-29,0,0
2020-3-1,0,0
2020-3-2,0,0
2020-3-3,0,0
2020-3-4,0,0
2020-3-5,0,0
2020-3-6,0,0
2020-3-7,0,0
2020-3-8,2,0
2020-3-9,3,0
2020-3-10,8,0
2020-3-11,9,0
2020-3-12,17,0
2020-3-13,30,0
2020-3-14,30,0
2020-3-15,45,0
2020-3-16,51,0
2020-3-17,67,0
2020-3-18,77,0
2020-3-19,94,0
2020-3-20,114,19
2020-3-21,152,20
2020-3-22,219,25
2020-3-23,254,32
2020-3-24,290,38
2020-3-25,391,45
2020-3-26,460,59
2020-3-27,604,65
2020-3-28,739,83
2020-3-29,890,99
2020-3-30,1020,112
2020-3-31,1250,136
2020-4-1,1484,165
2020-4-2,1706,208
2020-4-3,2012,246
2020-4-4,2407,312
2020-4-5,2637,390
2020-4-6,2878,431
2020-4-7,3333,497
2020-4-8,3645,563
2020-4-9,4042,563
2020-4-10,4509,685
2020-4-11,5077,772
2020-4-12,5274,837
2020-4-13,5747,872
2020-4-14,6171,903
2020-4-15,6500,978
2020-4-16,6889,1048
2020-4-17,7491,1114
2020-4-18,8053,1221
2020-4-19,8537,1296
2020-4-20,8990,1422
2020-4-21,9630,1500
2020-4-22,10266,1581
2020-4-23,10998,1659
2020-4-24,11594,1753
2020-4-25,12366,1837
2020-4-26,12970,1942
2020-4-27,13535,2014
2020-4-28,14339,2066
2020-4-29,14961,2165
2020-4-30,15846,2259
2020-5-1,16901,2322
2020-5-2,17731,2416
2020-5-3,18671,2519
2020-5-4,19492,2627
2020-5-5,20256,2700
2020-5-6,20256,2773
2020-5-7,21570,2955
2020-5-8,22342,3059
2020-5-9,23196,3164
2020-5-10,24081,3211
2020-5-11,25070,3300
2020-5-12,25800,3395
2020-5-13,26746,3520
2020-5-14,27813,3592
2020-5-15,28672,3657
2020-5-16,29683,3724
2020-5-17,30388,3775
2020-5-18,31140,3822
2020-5-19,32145,3904
2020-5-20,32908,3979
2020-5-21,34137,4093
2020-5-22,34950,4145
2020-5-23,35749,4181
2020-5-24,36244,4214
2020-5-25,37727,4269
2020-5-26,39342,4325
2020-5-27,40249,4385
2020-5-28,41401,4442
2020-5-29,42533,4529
2020-5-30,43611,4601
2020-5-31,44607,4643
2020-6-1,45398,4694
2020-6-2,46239,4770
2020-6-3,46905,4884
2020-6-4,47856,4957
2020-6-5,48532,5008
2020-6-6,49397,5054
2020-6-7,50681,5106
2020-6-8,51251,5143
2020-6-9,51738,5203
2020-6-10,52177,5272
2020-6-11,52647,5360
2020-6-12,53211,5445
2020-6-13,53869,5511
2020-6-14,54506,5536
2020-6-15,54886,5588
2020-6-16,55331,5643
2020-6-17,55775,5692
2020-6-18,56238,5744
2020-6-19,56793,5797
2020-6-20,57443,5807
2020-6-21,57994,5840
2020-6-22,58465,5869
2020-6-23,58994,5913
2020-6-24,59514,5955
2020-6-25,59946,5995
2020-6-26,60570,6071
2020-6-27,61247,6120
2020-6-28,61736,6136
2020-6-29,62189,6164
2020-6-30,62787,6203
2020-7-1,63203,6262
2020-7-2,63735,6333
2020-7-3,64393,6382
2020-7-4,65109,6405
2020-7-5,65748,6418
2020-7-6,66102,6435
2020-7-7,66740,6512
2020-7-8,67375,6577
2020-7-9,67988,6625
2020-7-10,68931,6675
2020-7-11,69782,6707
2020-7-12,70670,6744
2020-7-13,71642,6765
2020-7-14,72443,6817
2020-7-15,73527,6905
2020-7-16,74431,7020
2020-7-17,75433,7087
2020-7-18,76373,7147
2020-7-19,77430,7165
2020-7-20,78375,7201
2020-7-21,79371,7267
2020-7-22,80393,7351
2020-7-23,81237,7437
2020-7-24,82364,7515
2020-7-25,83609,7570
2020-7-26,84567,7593
2020-7-27,86072,7647
2020-7-28,86994,7686
2020-7-29,87993,7738
2020-7-30,88904,7786
2020-7-31,89888,7866
2020-8-1,90801,7910
2020-8-2,91782,7955
2020-8-3,93106,8018
2020-8-4,94251,8085
2020-8-5,95049,8126
2020-8-6,95867,8183
2020-8-7,97882,8281
2020-8-8,99189,8332
2020-8-9,100086,8369
2020-8-10,100749,8391
2020-8-11,101745,8458
2020-8-12,102521,8532
2020-8-13,103622,8592
2020-8-14,104838,8650
2020-8-15,105750,8701
2020-8-16,106687,8737
2020-8-17,107421,8767
2020-8-18,108282,8849
2020-8-19,109019,8925
2020-8-20,109882,8998
2020-8-21,110860,9071
2020-8-22,112072,9139
2020-8-23,112966,9176
2020-8-24,113630,9207
2020-8-25,114635,9259
2020-8-26,115458,9326
2020-8-27,115458,9391
2020-8-28,117592,9460
2020-8-29,118809,9512
2020-8-30,119747,9555
2020-8-31,120594,9569
2020-9-1,121615,9621
2020-9-2,122542,9678
2020-9-3,123668,9741
2020-9-4,124779,9798
2020-9-5,125727,9849
2020-9-6,126926,9881
2020-9-7,127571,9902
2020-9-8,128407,9932
2020-9-9,129289,10008
2020-9-10,130525,10085
2020-9-11,131640,10155
2020-9-12,132940,10218
2020-9-13,133814,10244
2020-9-14,134571,10293
2020-9-15,135514,10337
2020-9-16,136359,10389
2020-9-17,137460,10464
2020-9-18,138702,10520
2020-9-19,139655,10562
2020-9-20,140511,10591
2020-9-21,141138,10613
2020-9-22,142010,10675
2020-9-23,142590,10718
2020-9-24,143492,10769
2020-9-25,144433,10806
2020-9-26,145408,10863
2020-9-27,146144,10889
2020-9-28,146593,10916
2020-9-29,147516,10978
2020-9-30,148271,11041
2020-10-1,148721,11092
2020-10-2,149687,11140
2020-10-3,150803,11191
2020-10-4,151870,11221
2020-10-5,152557,11259
2020-10-6,153182,11316
2020-10-7,153691,11345
2020-10-8,155535,11393
2020-10-9,156649,11447
2020-10-10,157905,11501
2020-10-11,158716,11519
2020-10-12,159570,11553
2020-10-13,160805,11598
2020-10-14,161610,11628
2020-10-15,162941,11704
2020-10-16,164124,11780
2020-10-17,165238,11831
2020-10-18,166138,11861
2020-10-19,166828,11882
2020-10-20,167754,11955
2020-10-21,168772,12010
2020-10-22,170104,12073
2020-10-23,171284,12140
2020-10-24,172372,12198
2020-10-25,173371,12233
2020-10-26,174275,12260
2020-10-27,175409,12320
2020-10-28,176754,12384
2020-10-29,178183,12454
2020-10-30,179639,12511
2020-10-31,181190,12604
2020-11-1,182392,12647
2020-11-2,183418,12674
2020-11-3,184679,12739
2020-11-4,185836,12797
2020-11-5,187202,12865
2020-11-6,188770,12936
2020-11-7,190873,13022
2020-11-8,192175,13064
2020-11-9,193477,13116
2020-11-10,194912,13183
2020-11-11,196506,13273
2020-11-12,198027,13339
2020-11-13,199262,13408
2020-11-14,200799,13480
2020-11-15,201960,13504
2020-11-16,204637,13552
2020-11-17,206762,13608
2020-11-18,208833,13707
2020-11-19,210787,13815
2020-11-20,213331,13914
2020-11-21,215679,14017
2020-11-22,217796,14046
2020-11-23,221038,14096
2020-11-24,223582,14212
2020-11-25,226300,14312
2020-11-26,228900,14417
2020-11-27,230444,14451
2020-11-28,233617,14516
2020-11-29,235942,14572
2020-11-30,237835,14619
2020-12-1,240063,14725
2020-12-2,242480,14883
2020-12-3,244503,15014
2020-12-4,247380,15116
2020-12-5,251173,15255
2020-12-6,255053,15295
2020-12-7,258870,15356
2020-12-8,262730,15467
2020-12-9,267128,15592
2020-12-10,271043,15723
2020-12-11,274438,15864
2020-12-12,278615,15967
2020-12-13,281909,16014
2020-12-14,285149,16073
2020-12-15,288309,16187
2020-12-16,292240,16353
2020-12-17,296093,16503
2020-12-18,299388,16684
2020-12-19,302972,16824
2020-12-20,306848,16878
2020-12-21,310890,16948
2020-12-22,314481,17083
2020-12-23,319133,17271
2020-12-24,323915,17389
2020-12-25,327993,17450
2020-12-26,329577,17464
2020-12-27,333576,17548
2020-12-28,336175,17605
2020-12-29,340297,17782
2020-12-30,344345,17910
2020-12-31,349584,18041
2021-1-1,354766,18166
2021-1-2,358755,18240
2021-1-3,363765,18310
2021-1-4,367536,18387
2021-1-5,371913,18526
2021-1-6,377300,18636
2021-1-7,382679,18790
2021-1-8,387917,18918
2021-1-9,393715,19025
2021-1-10,398856,19095
2021-1-11,403386,19182
2021-1-12,407947,19326
2021-1-13,412545,19470
2021-1-14,417839,19595
2021-1-15,422634,19741
2021-1-16,429391,19846
2021-1-17,439305,19913
2021-1-18,446550,19982
2021-1-19,451076,20066
2021-1-20,455591,20231
2021-1-21,459604,20405
2021-1-22,463751,20544
2021-1-23,468655,20654
2021-1-24,472447,20712
2021-1-25,478619,20764
2021-1-26,483326,20860
2021-1-27,488553,20986
2021-1-28,493674,21113
2021-1-29,497912,21241
2021-1-30,502221,21377
2021-1-31,504779,21409
2021-2-1,507640,21444
2021-2-2,510380,21516
2021-2-3,513339,21638
2021-2-4,516398,21749
2021-2-5,521467,21893
2021-2-6,526176,22035
2021-2-7,529125,22102
2021-2-8,530825,22167
2021-2-9,534116,22339
2021-2-10,537319,22470
2021-2-11,541018,22615
2021-2-12,544209,22718
2021-2-13,547424,22846
2021-2-14,549999,22906
2021-2-15,551538,22944
2021-2-16,553308,23042
2021-2-17,555592,23179
2021-2-18,557896,23268
2021-2-19,559930,23369
2021-2-20,561812,23436
2021-2-21,564115,23481
2021-2-22,565270,23530
2021-2-23,567039,23698
2021-2-24,568946,23798
2021-2-25,570982,23871
2021-2-26,572639,23978
2021-2-27,574314,24091
2021-2-28,576050,24115
2021-3-1,577174,24158
2021-3-2,578559,24258
2021-3-3,580108,24354
2021-3-4,581408,24414
2021-3-5,583060,24514
2021-3-6,584537,24637
2021-3-7,585700,24661
